imdb_id,revenue
tt0448157,629443428
tt0251191,32395
tt3691740,55483770
tt0059113,111920764
tt0426931,66122026
tt2094877,217883
tt1185836,3037173
tt1396226,9075131
tt0388795,83043761
tt0086197,21192315
tt4034228,78988148
tt0458481,39407616
tt0117318,20300385
tt1130988,470691
tt0044672,36000000
tt2392830,4159246
tt0111255,57362582
tt0097027,18671317
tt0415833,40758
tt3416742,7253160
tt0062229,39481
tt0114660,529766
tt0475394,57232879
tt0496328,33723
tt0064782,14500000
tt0081747,3763988
tt0097557,151203
tt0497116,49782012
tt0347791,746381
tt2599716,94249025
tt2358925,14431253
tt0095031,42039085
tt0112401,30303072
tt0808279,7938872
tt2714900,2385956
tt2118775,29139936
tt0094138,3685862
tt0100260,8862354
tt0072665,1500000
tt0112625,13940383
tt1568911,79884879
tt4187590,8292235
tt0408236,52898073
tt2709768,875458631
tt1408253,154468902
tt0338096,27685016
tt0790712,1595417
tt0435705,77621983
tt5657028,29370592
tt0094012,38119483
tt1436562,483866518
tt1981107,9494789
tt3125324,14618727
tt0181833,362649
tt0090660,15945534
tt0377084,6765081
tt0120863,98126565
tt0089530,36230219
tt1219289,79249455
tt1748227,9929706
tt0395495,16162580
tt1864288,267965
tt0083642,69701637
tt1798684,91970827
tt0416449,456068181
tt1179069,3205167
tt4285496,3217176
tt0422720,60917189
tt1512235,422618
tt0084690,20225989
tt3508840,632542
tt3155604,4459303
tt0077745,24946533
tt2865120,8821329
tt0084865,28229046
tt0375568,39886986
tt0254686,6765335
tt3098306,13061533
tt0049408,65
tt2247692,33449086
tt1598822,54544638
tt0402022,53321673
tt0088395,10530000
tt0120770,30331165
tt0246578,6981586
tt0093894,38122105
tt0096969,70001698
tt0119173,48169156
tt4667094,22227514
tt0368909,4563167
tt1849718,26001696
tt0129167,23180087
tt2702724,78844582
tt0851578,944915
tt1674057,8835903
tt0453548,414404
tt0114367,5711695
tt0350258,75331600
tt1287878,356149
tt1190617,7013191
tt0328107,77911774
tt1872181,708982323
tt0084335,14000000
tt0100168,16153593
tt0088794,10297601
tt1242460,9232318
tt0120764,36850101
tt0106977,368875760
tt2035599,26608
tt1661199,542358331
tt1131729,8017917
tt0120524,15738769
tt1532382,3684120
tt0118980,43961
tt0110912,213928762
tt0119141,29481428
tt1294213,5682554
tt1287468,43585753
tt0790736,78324220
tt0349825,64445708
tt0106464,212483
tt1572315,47340586
tt0457510,99255460
tt1183251,4515258
tt0093278,14375181
tt0087884,2206121
tt0054215,32040242
tt0319343,223853736
tt0079116,43005351
tt0800320,493214993
tt0323298,3039587
tt1582507,44287131
tt2258281,673493
tt0382932,623726085
tt3784652,380806
tt0401815,206871
tt0070903,45000000
tt0382077,51100486
tt0087277,80039064
tt3731562,566652812
tt0092112,6797218
tt0845046,1785505
tt3541262,2589811
tt0106557,6980986
tt2381991,48390190
tt1985949,352333929
tt0086129,33759266
tt0237534,70752904
tt1449283,49871429
tt0142688,58401898
tt0119054,9090
tt0483756,550782
tt0118927,5406742
tt0111070,190539357
tt0421994,672243
tt0808399,1588015
tt0097958,73594646
tt0087553,34700291
tt1334260,9918093
tt4052882,55124043
tt0408524,34252847
tt0106761,2341309
tt0175880,48451803
tt0059578,15000000
tt0103873,242623
tt1663662,411002906
tt1189073,33678406
tt0421082,872252
tt1477109,49827298
tt0282687,16872671
tt0151804,10827810
tt0112682,1781465
tt0077504,44917151
tt0108147,57319029
tt1715873,285984
tt0285727,17528
tt0069113,84563118
tt1110037,1590355
tt4383594,57814445
tt1132620,104414200
tt1001526,321885765
tt0084938,30688860
tt2467046,27405896
tt0095897,20324096
tt1293847,44898413
tt0470705,8095658
tt0074279,3270000
tt0091613,1301121
tt0093143,760000
tt0059037,15260000
tt4501244,60323786
tt0167456,6880917
tt2004420,270665134
tt0061852,205843612
tt0790604,47232776
tt0252501,30919415
tt0073812,34272986
tt1242457,18874808
tt2347497,14567
tt1093908,44277350
tt0096073,18875011
tt0477348,74283625
tt0099785,476684675
tt0095294,12090735
tt0790770,3473958
tt0109446,92115211
tt0265666,71444482
tt0059742,159428329
tt1308729,9489829
tt0057345,920144
tt0121164,53359111
tt0173840,85131830
tt0080716,21202829
tt0338564,8836958
tt0462504,7177143
tt0110093,30806194
tt0978764,89792502
tt0410454,3347647
tt0099699,29888235
tt1981115,644783140
tt0887912,49259766
tt2172584,4510934
